Key,English
desertCropTreeDesc,"Plant these seeds on fertile soil in the desert to grow them for harvesting. Protect your crops from zombie and animals or they can be trampled and destroyed. Use the Watering Can to add Fertilizer to the planted seed to increase crop yield. The Watering Can can also be used to water dry plants with Ounces of Dirty Water. Dry crops on the Drying Rack to make more seeds"
sonwCropDesc,"Plant these seeds on fertile soil or in a Farm Plot in the snow to grow them for harvesting. Protect your crops from zombie and animals or they can be trampled and destroyed. Use the Watering Can to add Fertilizer to the planted seed to increase crop yield. The Watering Can can also be used to water dry plants with Ounces of Dirty Water. Dry crops on the Drying Rack to make more seeds"
forestNdesertCropDesc,"Plant these seeds on fertile soil or in a Farm Plot in the forest or the desert to grow them for harvesting. Protect your crops from zombie and animals or they can be trampled and destroyed. Use the Watering Can to add Fertilizer to the planted seed to increase crop yield. The Watering Can can also be used to water dry plants with Ounces of Dirty Water. Dry crops on the Drying Rack to make more seeds"
forestNdesertCropTreeDesc,"Plant these seeds on fertile soil in the forest or the desert to grow them for harvesting. Protect your crops from zombie and animals or they can be trampled and destroyed. Use the Watering Can to add Fertilizer to the planted seed to increase crop yield. The Watering Can can also be used to water dry plants with Ounces of Dirty Water. Dry crops on the Drying Rack to make more seeds"
foodCanJam,"Jam"
foodCanJamDesc,"A can of sweet fruit jam. If only you could find some peanut butter"
spicyDesc,"Just the right thing to add some nice heat to a meal. These can be used in the Kitchen to create large Spicy Meals."
foodCondimentSriracha,"Sriracha"
foodCondimentHotSauce,"Hot Sauce"
condimentDesc,"A delicious condiment that can be used in the Kitchen to create large meals."
foodCondimentKetchup,"Ketchup"
foodCondimentMustard,"Mustard"
foodCondimentMayo,"Mayo"
foodCondimentPicoDeGallo,"Pico De Gallo"
sauceDesc,"Just the right sauce to make a delicious meal in the Kitchen."
foodSauceBBQ,"BBQ"
foodSauceMarinara,"Marinara"
foodSauceHollandaise,"Hollandaise"
foodSauceFruitGlaze,"Fruit Glaze"
foodGarlic,"Dried Garlic"
herbGarlicDesc,"What meal would be complete without some garlic. This can be used in the Kitchen to make large meals."
foodIceCream,"Ice Cream"
foodIceCreamDesc,"A cold tasty treat"
foodVinegar,"Vinegar"
foodVinegarDesc,"A tangy vinegar made from assorted fruits"
foodSpicyChili,"Chili"
spicyChiliDesc,"A spicy hot chili"
foodTomato,"Tomato"
foodTomatoDesc,"A fresh Tomato"
foodOnion,"Onion"
foodOnionDesc,"A fresh Onion"
perkArtOfMiningLanternLongDesc,"Lights: You can't work if you can't see. Learn how to craft mining hats and helmet light mods."
resourceBulletCasingDesc,"Bullet casings can be crafted at the forge and are used to craft firearm ammunition\n\nUnlock by learning any bullet recipe"
resourceBulletTipDesc,"Bullet tips can be crafted at the forge and are used to craft firearm ammunition\n\nUnlock by learning any bullet recipe"
foodCropYuccaFruitDesc,"Yucca fruit is edible and 3 can be scraped into a Fruit Serving, they can used to craft Fruit Juice to drink to gain hydration and Essential Vitamins. It is harvested from cacti and yucca plants."
vehiclePlaceableGroupDesc,"This vehicle can be placed into the world like a block using the secondary action.\n\nRequires a workbench to craft.\nRequires Scavenged Parts to repair."
questitemWorkbenchUpgradesImprovisedQL2Redo,"Improvised Upgrade Lv2"
questitemWorkbenchUpgradesImprovisedQL3Redo,"Improvised Upgrade Lv3"
questitemWorkbenchUpgradesImprovisedQL4Redo,"Improvised Upgrade Lv4"
questitemWorkbenchUpgradesImprovisedQL5Redo,"Improvised Upgrade Lv5"
questitemWorkbenchUpgradesImprovisedQL6Redo,"Improvised Upgrade Lv6"
questitemWorkbenchUpgradesImprovisedQL7Redo,"Improvised Upgrade Lv7"
questitemWorkbenchUpgradesImprovisedQL8Redo,"Improvised Upgrade Lv8"
questitemWorkbenchUpgradesImprovisedQL9Redo,"Improvised Upgrade Lv9"
questitemWorkbenchUpgradesImprovisedQL10Redo,"Improvised Upgrade Lv10"
questitemWorkbenchUpgradesPipeGunQL3Redo,"Pipe Gun Upgrade Lv3"
questitemWorkbenchUpgradesPipeGunQL4Redo,"Pipe Gun Upgrade Lv4"
questitemWorkbenchUpgradesPipeGunQL5Redo,"Pipe Gun Upgrade Lv5"
questitemWorkbenchUpgradesPipeGunQL6Redo,"Pipe Gun Upgrade Lv6"
questitemWorkbenchUpgradesToolQL3Redo,"Advanced Upgrade Lv3"
questitemWorkbenchUpgradesToolQL4Redo,"Advanced Upgrade Lv4"
questitemWorkbenchUpgradesToolQL5Redo,"Advanced Upgrade Lv5"
questitemWorkbenchUpgradesToolQL6Redo,"Advanced Upgrade Lv6"
questitemWorkbenchUpgradesToolQL7Redo,"Advanced Upgrade Lv7"
questitemWorkbenchUpgradesToolQL8Redo,"Advanced Upgrade Lv8"
questitemWorkbenchUpgradesToolQL9Redo,"Advanced Upgrade Lv9"
questitemWorkbenchUpgradesToolQL10Redo,"Advanced Upgrade Lv10"
questitemWorkbenchUpgradesElectronicQL2Redo,"Electronic Upgrade Lv2"
questitemWorkbenchUpgradesElectronicQL3Redo,"Electronic Upgrade Lv3"
questitemWorkbenchUpgradesElectronicQL4Redo,"Electronic Upgrade Lv4"
questitemWorkbenchUpgradesElectronicQL5Redo,"Electronic Upgrade Lv5"
questitemWorkbenchUpgradesElectronicQL6Redo,"Electronic Upgrade Lv6"
questitemWorkbenchUpgradesElectronicQL7Redo,"Electronic Upgrade Lv7"
questitemWorkbenchUpgradesElectronicQL8Redo,"Electronic Upgrade Lv8"
questitemWorkbenchUpgradesElectronicQL9Redo,"Electronic Upgrade Lv9"
questitemWorkbenchUpgradesElectronicQL10Redo,"Electronic Upgrade Lv10"
questitemWorkbenchUpgradesElectronicQL11Redo,"Electronic Upgrade Lv11"
questitemWorkbenchUpgradesElectronicQL12Redo,"Electronic Upgrade Lv12"
questitemWorkbenchUpgradesLightArmorQL3Redo,"Light Armor Upgrade Lv3"
questitemWorkbenchUpgradesLightArmorQL4Redo,"Light Armor Upgrade Lv4"
questitemWorkbenchUpgradesLightArmorQL5Redo,"Light Armor Upgrade Lv5"
questitemWorkbenchUpgradesLightArmorQL6Redo,"Light Armor Upgrade Lv6"
questitemWorkbenchUpgradesLightArmorQL7Redo,"Light Armor Upgrade Lv7"
questitemWorkbenchUpgradesLightArmorQL8Redo,"Light Armor Upgrade Lv8"
questitemWorkbenchUpgradesLightArmorQL9Redo,"Light Armor Upgrade Lv9"
questitemWorkbenchUpgradesLightArmorQL10Redo,"Light Armor Upgrade Lv10"
questitemWorkbenchUpgradesHeavyArmorQL3Redo,"Heavy Armor Upgrade Lv3"
questitemWorkbenchUpgradesHeavyArmorQL4Redo,"Heavy Armor Upgrade Lv4"
questitemWorkbenchUpgradesHeavyArmorQL5Redo,"Heavy Armor Upgrade Lv5"
questitemWorkbenchUpgradesHeavyArmorQL6Redo,"Heavy Armor Upgrade Lv6"
questitemWorkbenchUpgradesHeavyArmorQL7Redo,"Heavy Armor Upgrade Lv7"
questitemWorkbenchUpgradesHeavyArmorQL8Redo,"Heavy Armor Upgrade Lv8"
questitemWorkbenchUpgradesHeavyArmorQL9Redo,"Heavy Armor Upgrade Lv9"
questitemWorkbenchUpgradesHeavyArmorQL10Redo,"Heavy Armor Upgrade Lv10"
questitemWorkbenchUpgradesHandgunQL2Redo,"Handgun Upgrade Lv2"
questitemWorkbenchUpgradesHandgunQL3Redo,"Handgun Upgrade Lv3"
questitemWorkbenchUpgradesHandgunQL4Redo,"Handgun Upgrade Lv4"
questitemWorkbenchUpgradesHandgunQL5Redo,"Handgun Upgrade Lv5"
questitemWorkbenchUpgradesHandgunQL6Redo,"Handgun Upgrade Lv6"
questitemWorkbenchUpgradesHandgunQL7Redo,"Handgun Upgrade Lv7"
questitemWorkbenchUpgradesHandgunQL8Redo,"Handgun Upgrade Lv8"
questitemWorkbenchUpgradesHandgunQL9Redo,"Handgun Upgrade Lv9"
questitemWorkbenchUpgradesHandgunQL10Redo,"Handgun Upgrade Lv10"
questitemWorkbenchUpgradesHandgunQL11Redo,"Handgun Upgrade Lv11"
questitemWorkbenchUpgradesHandgunQL12Redo,"Handgun Upgrade Lv12"
questitemWorkbenchUpgradesShotgunQL2Redo,"Shotgun Upgrade Lv2"
questitemWorkbenchUpgradesShotgunQL3Redo,"Shotgun Upgrade Lv3"
questitemWorkbenchUpgradesShotgunQL4Redo,"Shotgun Upgrade Lv4"
questitemWorkbenchUpgradesShotgunQL5Redo,"Shotgun Upgrade Lv5"
questitemWorkbenchUpgradesShotgunQL6Redo,"Shotgun Upgrade Lv6"
questitemWorkbenchUpgradesShotgunQL7Redo,"Shotgun Upgrade Lv7"
questitemWorkbenchUpgradesShotgunQL8Redo,"Shotgun Upgrade Lv8"
questitemWorkbenchUpgradesShotgunQL9Redo,"Shotgun Upgrade Lv9"
questitemWorkbenchUpgradesShotgunQL10Redo,"Shotgun Upgrade Lv10"
questitemWorkbenchUpgradesMachineGunQL3Redo,"Machine Gun Upgrade Lv3"
questitemWorkbenchUpgradesMachineGunQL4Redo,"Machine Gun Upgrade Lv4"
questitemWorkbenchUpgradesMachineGunQL5Redo,"Machine Gun Upgrade Lv5"
questitemWorkbenchUpgradesMachineGunQL6Redo,"Machine Gun Upgrade Lv6"
questitemWorkbenchUpgradesMachineGunQL7Redo,"Machine Gun Upgrade Lv7"
questitemWorkbenchUpgradesMachineGunQL8Redo,"Machine Gun Upgrade Lv8"
questitemWorkbenchUpgradesMachineGunQL9Redo,"Machine Gun Upgrade Lv9"
questitemWorkbenchUpgradesMachineGunQL10Redo,"Machine Gun Upgrade Lv10"
questitemWorkbenchUpgradesRlifeQL3Redo,"Rifle Upgrade Lv3"
questitemWorkbenchUpgradesRlifeQL4Redo,"Rifle Upgrade Lv4"
questitemWorkbenchUpgradesRlifeQL5Redo,"Rifle Upgrade Lv5"
questitemWorkbenchUpgradesRlifeQL6Redo,"Rifle Upgrade Lv6"
questitemWorkbenchUpgradesRlifeQL7Redo,"Rifle Upgrade Lv7"
questitemWorkbenchUpgradesRlifeQL8Redo,"Rifle Upgrade Lv8"
questitemWorkbenchUpgradesRlifeQL9Redo,"Rifle Upgrade Lv9"
questitemWorkbenchUpgradesRlifeQL10Redo,"Rifle Upgrade Lv10"
questitemWorkbenchUpgradesRlifeQL11Redo,"Rifle Upgrade Lv11"
questitemWorkbenchUpgradesRlifeQL12Redo,"Rifle Upgrade Lv12"
questitemStoveQuestRedo,"Oven Repair Quest"
questitemKitchenQuestRedo,"Kitchen Quest"
meleeWpnSpearT0StoneSpearDesc,"Spears have more range than other weapons and can also be thrown.\nScrap to Small Stone."
foodRosemary,"Rosemary"
rosemaryDesc,"A fragrant plant used for cooking, perfumes, and for its potential health benefits. Can be scraped for Plant Fibers."
foodYarrow,"Yarrow"
yarrowDesc,"A flowering plant used in home remides. Can be scraped for Plant Fibers."
foodDriedMeat,"Dried Meat"
foodDriedMeatDesc,"Sun dried Meat, you lose alot in the process but it will last a long time"
foodDriedFruit,"Dried Fruit"
foodDriedFruitDesc,"Sun dried Fruit, you lose alot in the process but it will last a long time"
foodRawRabbit,"Raw Rabbit"
foodRawRabbitDesc,"A whole skinned rabbit. Rabbit season indeed"
foodRoastedRabbit,"Roasted Rabbit"
foodRoastedRabbitDesc,"Spit roasted rabbit, it smells delicious"
foodRawChicken,"Raw Chicken"
foodRawChickenDesc,"A whole chicken freshly plucked."
ServingDesc,"A raw serving of food that can be used to prepare Nutritious snacks and meals."
resourceAdhesive,"Scrap Adhesives"
scrapAdhesiveDesc,"Assorted adhesives good for any crafting need"
gunpartsCrossbow,"Crossbow Parts"
gunpartsSniperRifle,"Sniper Rifle Parts"
gunpartsLeverActionRifle,"Lever Action Rifle Parts"
gunpartsM60,"M60 Parts"
gunpartsAR15,"AR Parts"
gunpartsAutoShotgun,"Auto Shotgun Parts"
gunpartsPumpShotgun,"Pump Shotgun Parts"
gunpartsSMG,"SMG Parts"
gunpartsVulture,"Vulture Parts"
gunpartsMagnum,"Magnum Parts"
schematicSteelArrows,"Steel Arrow Crafting Guide"
moldyBread,"Moldy Bread"
moldyBreadDesc,"Old moldy bread. Doesnt look very appetizing but better than eating dirt"
resourceFreshTimber,"Fresh Timber"
freshTimberDesc,"Freshly cut timber. Good for crafting improvised tools and weapons. Can also be crafted into Planks and scrapped into Sticks"
medicalAntiviral,"Antiviral"
medicalAntiviralDesc,"Experimental antiviral medication used to lower a viral load of a viral infection. Could be used as a possible treatment for the [f21b10]Z-Virus[-] but its not going to cure it\n\nWarning:Do not take with other Antiviral medication and only take 1 dose at a time"
medicalAntiviralDepressant,"Antiviral Depressant"
medicalAntiviralDepressantDesc,"Experimental antiviral medication used to slow a viral infection's progrssion. Could be used as a possible treatment for the [f21b10]Z-Virus[-] but its not going to cure it\n\nWarning:Do not take with other Antiviral medication and only take 1 dose at a time"
medicalSalineSolution,"Saline Solution"
medicalSalineSolutionDesc,"Sterile water good for crafting [35bd00]Cleansing Wash[-]"
foodSalt,"Ounces of Salt"
saltDesc,"Salt can be used to dry foods and make Saline Solution for [35bd00]Cleansing Wash[-]"
bookLockpicking,"Lock Picking"
bookLockpickingDesc,"Teaches the perk Lock Picking. Collect and read more to learn more levels"
bookInfiltrator,"Infiltrator"
bookInfiltratorDesc,"Teaches the perk Infiltrator. Collect and read more to learn more levels"
bookTreasureHunter,"Treasure Hunter"
bookTreasureHunterDesc,"Teaches the perk Treasure Hunter. Collect and read more to learn more levels"
bookLightArmor,"Light Armor"
bookLightArmorDesc,"Teaches the perk Light Armor. Collect and read more to learn more levels"
bookHeavyArmor,"Heavy Armor"
bookHeavyArmorDesc,"Teaches the perk Heavy Armor. Collect and read more to learn more levels"
bookWellInsulated,"Well Insulated"
bookWellInsulatedDesc,"Teaches the perk Well Insulated. Collect and read more to learn more levels"
bookLuckyLooter,"Lucky looter"
bookLuckyLooterDesc,"Teaches the perk Lucky looter. Collect and read more to learn more levels"
bookSalvageOperations,"Salvage Operations"
bookSalvageOperationsDesc,"Teaches the perk Salvage Operations. Collect and read more to learn more levels"
bookPackMule,"Pack Mule"
bookPackMuleDesc,"Teaches the perk Pack Mule. Collect and read more to learn more levels"
bookMotherLode,"Mother Load"
bookMotherLodeDesc,"Teaches the perk Mother Load. Collect and read more to learn more levels"
bookTheHuntsman,"The Huntsman"
bookTheHuntsmanDesc,"Teaches the perk The Huntsman. Collect and read more to learn more levels"
bookPainTolerance,"Pain Tolerance"
bookPainToleranceDesc,"Teaches the perk Pain Tolerance. Collect and read more to learn more levels"
bookHealingFactor,"Healing Factor"
bookHealingFactorDesc,"Teaches the perk Healing Factor. Collect and read more to learn more levels"
bookSlowMetabolism,"Slow Metabolism"
bookSlowMetabolismDesc,"Teaches the perk Slow Metabolism. Collect and read more to learn more levels"
bookHiddenStrike,"Hidden Strike"
bookLockpHiddenStrikeDesc,"Teaches the perk Hidden Strike. Collect and read more to learn more levels"
bookFromTheShadows,"From the Shadows"
bookFromTheShadowsDesc,"Teaches the perk From the Shadows. Collect and read more to learn more levels"
bookCharismaticNature,"Charismatic Nature"
bookCharismaticNatureDesc,"Teaches the perk Charismatic Nature. Collect and read more to learn more levels"
toolCarvingKnife,"Carving Knife"
improvisedToolDesc,"When combined with the workbench this will allow better quality items to be crafted. To add this tool to your workbench equip it in your hand and click on the Improvised Workstation."
toolHandSaw,"Hand Saw"
toolSquare,"Square"
toolHandDrill,"Hand Drill"
toolMallet,"Mallet"
toolWoodChisel"Wood Chisel"
toolClamps,"Clamps"
toolDrawBlade,"Draw Blade"
toolMasonryHandsaw,"Masonary Handsaw"
toolPipeWrench,"Pipe Wrench"
toolPipeWrenchDesc,"When combined with the workbench this will allow level 2 quality items to be crafted. To add this tool to your workbench equip it in your hand and click on the Pipe Gun Workbench"
toolPipeSaw,"Pipe Saw"
toolPipeSawDesc,"When combined with the workbench this will allow level 3 quality items to be crafted. To add this tool to your workbench equip it in your hand and click on the Pipe Gun Workbench"
toolPipeVise,"Pipe Vise"
toolPipeViseDesc,"When combined with the workbench this will allow level 4 quality items to be crafted. To add this tool to your workbench equip it in your hand and click on the Pipe Gun Workbench"
toolAngleGrinder,"Angle Grinder"
toolAngleGrinderDesc,"When combined with the workbench this will allow level 5 quality items to be crafted. To add this tool to your workbench equip it in your hand and click on the Pipe Gun Workbench"
toolPropaneTorch,"Propane Torch"
toolPropaneTorchDesc,"When combined with the workbench this will allow level 6 quality items to be crafted. To add this tool to your workbench equip it in your hand and click on the Pipe Gun Workbench"
toolSewingNeedle,"Sewing Needle"
lightArmorDesc,"When combined with the workbench this will allow better quality items to be crafted. To add this tool to your workbench equip it in your hand and click on the Light Armor Workbench"
toolLeatherNeedle,"Leather Needle"
toolBasicTailoringNAlterations,"Basic Tailoring and Alterations"
toolSmallLoom,"Small Loom"
toolFabricShears,"Fabric Shears"
toolAdvancedLeatherWorking,"Advanced Leather Working"
toolLeatherPunch,"Leather Punch"
toolSewingMachine,"Sewing Machine"
toolTailorMannequin,"Tailor Mannequin"
toolArmorerAnvil,"Armorer Anvil"
toolPliers,"Pliers"
toolMetalSnips,"Metal Snips"
toolVise,"Vise"
toolAdvancedArmorSmithing,"Advanced Armor Smithing"
toolMetalDrill,"Metal Drill"
toolRivetGun,"Rivet Gun"
heavyArmorDesc,"When combined with the workbench this will allow better quality items to be crafted. To add this tool to your workbench equip it in your hand and click on the Heavy Armor Workbench"
toolOxyacetyleneTorch,"Oxyacetylene Torch"
toolAngleGrinder2,"Angle Grinder"
advancedDesc,"When combined with the workbench this will allow better quality items to be crafted. To add this tool to your workbench equip it in your hand and click on the Advanced Workstation"
toolMeasuringTape,"Measuring Tape"
toolFileSet,"File Set"
toolToolMakingForBeginers,"Tool Making For Beginers"
toolCircularSaw,"Circular Saw"
toolAdvancedToolCrafting,"Advanced Tool Crafting"
toolPlaner,"Planer"
toolSander,"Sander"
toolDrill,"Drill"
toolLathe,"Lathe"
toolGunStand"
handgunToolsDesc,"When combined with the workbench this will allow better quality items to be crafted. To add this tool to your workbench equip it in your hand and click on the Gun Workbench"
toolTorxSet,"Handgun Tool Set"
toolGunTiN,"TiN Coating"
toolGunSightTool,"Handgun Sight Tool"
toolAdvancedCoilSprings,"Advanced Handgun Coil Springs"
toolBushingWrench,"Handgun Bushing Wrench"
toolStipplingKit,"Handgun Stippling Kit"
toolBasicGunImprovments,"Basic Handgun Improvments"
toolGunBarrelBorer,"Handgun Barrel Borer"
toolAdvancedGunAssembly,"Advanced Handgun Assembling"
toolAdvancedGuideRods,"Advanced Handgun Guide Rods"
shotgunToolsDesc,"When combined with the workbench this will allow better quality items to be crafted. To add this tool to your workbench equip it in your hand and click on the Shotgun Workbench"
toolShotgunTorxSet,"Shotgun Tool Set"
toolShotgunTiN,"TiN Coating"
toolShotgunSightTool,"Shotgun Sight Tool"
toolAdvancedShutgunCoilSprings,"Advanced Shutgun Coil Springs"
toolShotgunBushingWrench,"Shotgun Bushing Wrench"
toolShotgunBarrelBorer,"Shotgun Barrel Borer"
toolShotgunStipplingKit,"Shotgun Stippling Kit"
toolAdvancedShotgunGuideRods,"Advanced Shotgun Guide Rods"
toolMachineGunTorxSet,"Machine Gun Tool Set"
machineGunToolDesc,"When combined with the workbench this will allow better quality items to be crafted. To add this tool to your workbench equip it in your hand and click on the Machine Gun Workbench"
toolMachineGunTiN,"TiN Coating"
toolMachineGunSightTool,"Machine Gun Sight Tool"
toolAdvancedMachineGunCoilSprings,"Advanced Machine Gun Coil Springs"
toolMachineGunBushingWrench,"Machine Gun Bushing Wrench"
toolMachineGunBarrelBorer,"Machine Gun Barrel Borer"
toolMachineGunStipplingKit,"Machine Gun Stippling Kit"
toolAdvancedMachineGunGuideRods,"Advanced Machine Gun Guide Rods"
rifleToolDesc,"When combined with the workbench this will allow level 2 quality items to be crafted. To add this tool to your workbench equip it in your hand and click on the Rifle Workbench"
toolRifleTorxSet,"Rifle Tool Set"
toolRifleTiN,"TiN Coating"
toolRifleSightTool,"Rifle Sight Tool"
toolAdvancedRifleCoilSprings,"Advanced Rifle Coil Springs"
toolRifleBushingWrench,"Rifle Bushing Wrench"
toolRifleStipplingKit,"Rifle Stippling Kit"
toolBasicRifleImprovments,"Basic Rifle Improvments"
toolRifleBarrelBorer,"Rifle Barrel Borer"
toolAdvancedRifleAssembling,"Advanced Rifle Assembling"
toolAdvancedRifleGuideRods,"Advanced Rifle Guide Rods"
toolElectricianScrewdriver,"Electrician Screwdriver"
electricianToolDesc,"When combined with the workbench this will allow better quality items to be crafted. To add this tool to your workbench equip it in your hand and click on the Electronic Workbench"
toolWireStripers,"Wire Stripers"
toolMagnifyingGlass,"Magnifying Glass"
toolCircuitBoardHolder,"Circuit Board Holder"
toolAdvancedCircuitry,"Advanced Circuitry"
toolCircuitBoardRepairKit,"Circuit Board Repair Kit"
toolSolderingIron,"Soldering Iron"
toolAdvancedRobotics,"Advanced Robotics"
toolMetalBreak,"Metal Break"
toolVoltTester,"Volt Tester"
tool3DPrinter,"3D Printer"
brokenWorkstationToolDesc,"Your going to have to fix this before you can use it on your workstation."
toolBrokenToolSolderingIron,"Soldering Iron"
toolBrokenToolMetalBreak,"Metal Break"
toolBrokenTool3DPrinter," 3D Printer"
traitCautiousBook,"Cautious"
traitFearlessBook,"Fearless"
traitSkinnyBook,"Skinny"
traitFatBook,"Fat"
traitMuscularBook,"Strong"
traitEnergeticBook,"Energetic"
traitLazyBook,"Lazy"
traitHomebodyBook,"Homebody"
traitOutdoorsmanBook,"Outdoorsman"
traitNightOwlBook,"Night Owl"
traitEarlyBirdBook,"Early Bird"
hobbyGardeningBook,"Gardening"
hobbyArcheryBook,"Archery"
hobbyGearheadBook,"Gearhead"
hobbySportEnthusiastBook,"Sports Enthusiast"
hobbyElectronicsBook,"Electronics"
hobbyCrossfitBook,"Crossfit"
hobbyFigureSkatingBook,"Gymnastics"
hobbySewingBook,"Sewing"
hobbyWoodworkingBook,"Woodworking"
hobbyCookingBook,"Cooking"
hobbyHuntingBook,"Hunting"
medicalSalineSolution,"Saline Solution"
medicalSalineSolutionDesc,"A mixture of distilled water and salt used in cleaning wounds"
resourceSteelSheetMetal,"Steel Sheet Metal"
steelSheetMetalDesc,"Thin Sheets of Steel used to craft, repair and upgrade Steel Blocks"
resourceIronSheetMetal,"Iron Sheet Metal"
ironSheetMetalDesc,"Thin Sheets of Iron used to craft, repair and upgrade Iron Blocks"
traitChoice,"Trait Knowledge Point"
traitChoiceDesc,"Used to purchase your starting Traits. You dont have to use all of these\n\n[f21b10]These Points will not last long, use immediately[-]"
hobbyChoice,"Hobby Knowledge Point"
hobbyChoiceDesc,"Used to purchase your starting Hobby.\n\n[f21b10]These Points will not last long, use immediately[-]"
professionChoice,"Profession Knowledge Point"
professionChoiceDesc,"Used to purchase your starting Profession.\n\n[f21b10]These Points will not last long, use immediately[-]"
drugHerbalAntibioticsDesc,"A crudly made pill used to slowly cure [f21b10]Medical Infections[-]"
drugAntibioticsDesc,"Pre collapse pharmaceuticals that can be used to fight a [f21b10]Medical Infection[-]."
resourceSewingKitDesc,"Use to craft clothing, armor, and make modifications to them. Can also be used to poorly treat [f21b10]Lacerations[-]. Using a [35bd00]Suture Kit[-] would be better.\nUse the secondary action to treat another player.\n\nAll Medical Treatments must be used in the hand."
questitemSoldierBody,"Soldier's Body"
questitemSoldierBodyDesc,"The body of the Soldier from the CDC."
questitemSeedLeek,"Engineered Leek Seeds"
questitemSeedLeekDesc,"Leek Seeds that have been genetically engineered by the CDC Doctors to create a cure to the Z-Virus. Plant these seeds in the Burnt Biome and use Burnt Spore Fertilizer crafted from Burnt Zombie Spores gathered by killing Zombies during the Bloodmoon in the Burnt Biome"
questitemSeedChilis,"Engineered Chili Seeds"
questitemSeedChilisDesc,"Chili Seeds that have been genetically engineered by the CDC Doctors to create a cure to the Z-Virus. Plant these seeds in the Desert and use Desert Spore Fertilizer crafted from Desert Zombie Spores gathered by killing Zombies during the Bloodmoon in the Desert"
questitemSeedCucumber,"Engineered Cucumber Seeds"
questitemSeedCucumberDesc,"Cucumber Seeds that have been genetically engineered by the CDC Doctors to create a cure to the Z-Virus. Plant these seeds in the Wasteland and use Wasteland Spore Fertilizer crafted from Wasteland Zombie Spores gathered by killing Zombies during the Bloodmoon in the Wasteland"
questitemSeedSnowberry,"Engineered Snowberry Seeds"
questitemSeedSnowberryDesc,"Snowberry Seeds that have been genetically engineered by the CDC Doctors to create a cure to the Z-Virus. Plant these seeds in the Snow Biome and use Snow Spore Fertilizer crafted from Snow Zombie Spores gathered by killing Zombies during the Bloodmoon in the Snow Biome"
questitemSeedCarrot,"Engineered Carrot Seeds"
questitemSeedCarrotDesc,"Carrot Seeds that have been genetically engineered by the CDC Doctors to create a cure to the Z-Virus. Plant these seeds in the Forest and use Forest Spore Fertilizer crafted from Forest Zombie Spores gathered by killing Zombies during the Bloodmoon in the Forest"
questitemBMSporesForest,"Forest Zombie Fluids"
questitemBMSporesForestDesc,"Fluids gathered from killing Zombies during a Bloodmoon in the Forest"
questitemFertilizerForest,"Forest Fertilizer"
questitemFertilizerForestDesc,"Special Fertilizer used to help Engineered Carrot grow"
questitemBMSporesDesert,"Desert Zombie Fluids"
questitemBMSporesDesertDesc,"Fluids gathered from killing Zombies during a Bloodmoon in the Desert"
questitemFertilizerDesert,"Desert Fertilizer"
questitemFertilizerDesertDesc,"Special Fertilizer used to help Engineered Chilis grow"
questitemBMSporesWasteland,"Wasteland Zombie Fluids"
questitemBMSporesWastelandDesc,"Fluids gathered from killing Zombies during a Bloodmoon in the Wasteland"
questitemFertilizerWasteland,"Wasteland Fertilizer"
questitemFertilizerWastelandDesc,"Special Fertilizer used to help Engineered Cucumbers grow"
questitemBMSporesBurnt,"Burnt Zombie Fluids"
questitemBMSporesBurntDesc,"Fluids gathered from killing Zombies during a Bloodmoon in the Burnt Biome"
questitemFertilizerBurnt,"Burnt Fertilizer"
questitemFertilizerBurntDesc,"Special Fertilizer used to help Engineered Leeks grow"
questitemBMSporesSnow,"Snow Zombie Fluids"
questitemBMSporesSnowDesc,"Fluids gathered from killing Zombies during a Bloodmoon in the Snow Biome"
questitemFertilizerSnow,"Snow Fertilizer"
questitemFertilizerSnowDesc,"Special Fertilizer used to help Engineered Snowberries grow"
questitemSoldierNote,"Soldiers Note"
questitemSoldierNoteDesc,"A note left by the soldier you came to find. There is a small drawn map, and it says he has the CDC files."
questitemCDCFiles,"CDC Files"
questitemCDCFilesDesc,"All the information and research that the CDC had gathered on the event and the virus."
questitemReadCDCFiles,"Read CDC Files,"
questitemReadCDCFilesDesc,"All the information and research that the CDC had gathered on the event and the virus."
questitemZAntiVirus,"Z Virus Cure"
questitemZAntiVirusDesc,"A possible cure created from the information gathered by the CDC. There’s only enough for one dose."
questitemLeek,"Engineered Leeks"
questitemLeekDesc,"A genetically engineered leek altered to produce anti vials for the Z-Virus."
questitemCucmber,"Engineered Cucumbers"
questitemCucmberDesc,"A genetically engineered leek altered to produce anti vials for the Z-Virus."
questitemChili,"Engineered Chilis"
questitemChiliDesc,"A genetically engineered leek altered to produce anti vials for the Z-Virus."
questitemSnowberry,"Engineered Snowberries"
questitemSnowberryDesc,"A genetically engineered leek altered to produce anti vials for the Z-Virus."
questitemCarrot,"Engineered Carrots"
questitemCarrotDesc,"A genetically engineered leek altered to produce anti vials for the Z-Virus."
questitemBioKit,"Engineered Seed Packs"
questitemBioKitDesc,"A pack of genetically engineered seeds altered to produce anti vials for the Z-Virus."
ammoEmpty,"Empty Gun"
schematicDrawBridge,"Draw Bridge Crafting Guide"
schematicBulletproofGlass,"Bulletproof Glass Crafting Guide"
schematicpartCarBattery,"Car Battery Crafting Guide"
schematicSolarbank,"Solar Bank Crafting Guide"
schematicSmallEngine,"Small Engine Crafting Guide"
